id,Nombre Comercial,Clasificación,Categoría,Dirección,Dirección Web
4103,ADRIAND S,HOTEL,4 Estrellas,AV. JOSE UGARTE MOLINA S/N GONZALO CORDOVA,www.hoteladriands.com
4104,HOTEL ADRIAND S,HOTEL,4 Estrellas,AV. JOSE UGARTE MOLINA S/N GONZALO CORDOVA,www.hoteladriands.com.ec
4105,HILLARY NATURE .,RESORT,5 Estrellas,VIA ALAMOR S/N S/N,
4106,SAN FRANCISCO,HOTEL,2 Estrellas,TARQUI S/N SUCRE Y OLMEDO,
4107,UNITRAVEL CIA.LTDA.,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,VELA 1610 Y BOLÍVAR,
4108,GRAND AMERICANO GHA CIA LTDA,HOTEL,3 Estrellas,TARQUI S/N 25 DE JUNIO,www.hotelesmachala.com
4109,AKITRANSPORT S.A.,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,ROCAFUERTE 114 Y MALECON,
4110,LITORAL TRANS S.A.,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,MACHALA ENTRE 19 DE OCTUBRE Y PORTOVELO,
4111,HEFZITUR CIA.LTDA.,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,MACHALA E/19 DE OCTUBRE Y PORTOVELO,
4112,HEFZITUR CIA. LTDA.,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,Machala sn Portovelo,
4113,HUAQTUR S.A,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,10 DE AGOSTO E/ PRIMERO DE MAYO Y ESMERALDAS,
4114,CANTINA DE LA PIAZZA LA ,BAR,PRIMERA,"AV. 25 DE JUNIO, C.C. LA PIAZZA MACHALA",
4115,PUYANGO TRAVEL,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,25 DE JUNIO 367 Y NAPOLEON MERA,
4116,KLASSTUR SA,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,AV ALEJANDRO CASTRO BENITEZ S/N VIA PAJONAL,
4117,SERINTOUR ECUADOR ,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,MARCEL LANIADO Y GUAYAS,
4118,TRIP&LIFE ECUADOR,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,AV ARIZAGA S/N AV SIMON BOLIVAR,
4119,GOLD TRAVEL,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,SANTA ROSA 1805 25 DE JUNIO Y ROCAFUERTE,
4120,PA'CORTARSE LAS VENAS,BAR,PRIMERA,URBANIZACION CIUDAD DEL SOL,
4121,ECOMANGLE,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,10 DE AGOSTO Y TNTE. CORDOVEZ,
4122,JALILETOUR ,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,JUAN HENRIQUEZ COELLO 108 MALECON,
4123,OCCIDENTAL SUDAMERICA ECUMENICO OBSODOCU S.A,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,GUAYAS Y PICHINCHA,
4124,SURPACIFICTOUR,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,ciudadela las brisas manzana c3 villa5,
4125,SOCVIAJES S.A.,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,TENIENTE CORDOVEZ S/N ONCE DE NOVIEMBRE,
4126,AMERICANTOURING S A,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,BOLIVAR S/N JUAN MONTALVO Y 9 DE MAYO ,www.americantouring.com.ec
4127,AMERICANTOURING S A,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,VIA MACHALA - PASAJE S/N S/N,www.americantouring.com.ec
4128,VIAJE AVENTURA,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,CIUDADELA CIUDAD DEL SOL,
4129,AVENTOUR & ARENILLAS,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,CDLA. EL PROGRESO 1 Y AV. FRIAS,
4130,ALL SUR TOUR OPERADOR,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,AV. EUGENIO CAJAMARCA,
4131,GOLDEN TOURING,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,10 DE AGOSTO 230 LOS ALMENDROS,www.goldentouring.com
4132,HILLARY DELI,CAFETERÍA,SEGUNDA,25 DE JUNIO Y NAPOLEON MERA,
4133,TRANSBALAOTUR ,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,CALLE COMERCIO S/N ENTRE 24 DE MAYO Y ATAHUALPA ,
4134,TRANSTURNARANJAL ,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,CALLE TARQUI 149 E HIGUERON,
4135,D&D TRAVEL AGENCY ,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,AYACUCHO SN 25 DE JUNIO,
4136,KOSMOSTOUR S A,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,25 DE JUNIO S/N PAEZ Y JUNIN,
4137,JESTOURIST,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,AVENIDA PICHINCHA SN BUENAVISTA Y COLON,
4138,TM ECUADOR,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,ROCAFUERTE S/N PAEZ,www.tumundoecuador.com
4139,VIAJES SIN LIMITES,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,Av. 25 de Junio E583 sn,
4140,SUITE Y HOTEL PARIS CITY CIA LTDA,HOTEL,2 Estrellas,SUCRE S/N 9 DE MAYO,
4141,DAGNATOUR,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,JUNIN 1122 ROCAFUERTE,
4142,HOTEL PUERTO BANANA,HOTEL,3 Estrellas,AV SUCRE S/N NUEVE DE OCTUBRE,
4143,SIN LIMITES TOURS,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,AV ROCAFUERTE S/N BUENAVISTA Y COLON,
4144,EUROAMERICA TRAVELS,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,AV. MADERO VARGAS S/N 2DA NORTE,
4145,PINOS OPERADORA DE TURISMO CIA LTDA,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,AV 25 DE JUNIO 509 BUENAVISTA,
4146,TURISKKAN,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,RICARDO SOTOMAYOR M 416 AV BOLIVAR MADERO VARGAS,
4147,SALVATORE,TRANSPORTE MARITIMO Y FLUVIAL,YATES_PASAJ,GONZALO CORDOVA TRANSVERSAL 1ERA NORTE,
4148,GOUTRAVEL CIA.LTDA.,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,AYACUCHO S/N ENTRE 25 DE JUNIO Y SUCRE,www.goutravel.com
4149,BLISS RESTO  LIVE MUSIC,RESTAURANTE,(2) Dos tenedores,Marcel Laniado 106 Circunvalación Norte y Babahoyo,
4150,HOTEL REEC MACHALA,HOTEL,4 Estrellas,URUGUAY SN BOLIVIA,www.hotelesreec.com
4151,DRAGONFLY,RESTAURANTE,PRIMERA / 4 TENEDORES,Reina Victoria N24-150 y Mariscal Foch,
4152,NUEVA CENTRAL,RESTAURANTE,TERCERA,25 DE JUNIO Y TARQUI,
4153,EMERITA,HOTEL,2 Estrellas,CALLE PRIMERA SECTOR EL TORINO - VILLA RICA  CN  A UNA CUADRA DEL HOTEL EL PARAISO,www.cabanasemerita.com
4154,CARIBE,HOSTAL,2 Estrellas,VILLA RICA SN CALLE PRIMERA,
4155,RAMEDI,HOTEL,2 Estrellas,Av. Del Pacifico 3 Bastidas,
4156,RECREACIONES TONSUPA,HOSTERÍA,3 Estrellas,SEGUNDA 1 DECIMA OCTAVA,
4157,JACKS,HOTEL,2 Estrellas,AV 8 215 TERCERA,
4158,HOSTAL ZULEMA,HOSTAL,1 Estrellas,rocafuerte s/n pedro vicente maldonada,
4159,HOSTAL JENNIFER,HOSTAL,2 Estrellas,calle los cedros s/n malecon del rio,
4160,KAMIKAZE,RESTAURANTE,TERCERA,15 DE NOVIEMBRE S/N FRENTE AG. COCA COLA,
4161,HOTEL ESTUARIO,HOTEL,2 Estrellas,AV. PACIFICO 210 CALLE SEGUNDA,www.facebook.com hotelestuario
4162,MOTHER FANNY,CASA DE HUÉSPEDES,Categoría única,ANTONIO GIL S/N ESCALECIAS,
4163,MAIZ Y YUCA,FUENTE DE SODA,TERCERA,AV. 06 S/N JUNTO A LA ENTRADA A PIEDRA DE VAPOR,
4164,HOSTAL DE MARY,HOSTAL,1 Estrellas,AV. MACHALILLA S/N ABDON CALDERON,www.hospedajedemary.amawebs.com
4165,ENTRA PUES,CAFETERÍA,CUARTA,VIA SAN MATEO Y CALLE 12,
4166,SANS,HOTEL,2 Estrellas,Av. 6 de Diciembre 317 Av. Jimmy Anchico,
4167,RINCON DEL MARISCO EL,RESTAURANTE,TERCERA,SAUCES 6 BLOQUE 21,
4168,GAUCHO EL,RESTAURANTE,TERCERA,OLMEDO E/ CHILE Y SEMINARIO,
4169,CABAÑAS D'NANCY,HOSTAL,1 Estrellas,VILLA RICA SN CALLE 1,
4170,D'MAURA,RESTAURANTE,TERCERA,Simón Plata Torres,
4171,GRAN JEHOVA,HOSTAL,TERCERA,CALLE ELOY ALFARO,
4172,CASAYMAR,HOTEL,3 Estrellas,Calle G (Esquina) Calle Primera,
4173,EL ENCOCADO,RESTAURANTE,SEGUNDA,AV. EL RETORNO Y AV. TEODORO GÓMEZ DE LA TORRE,
4174,Helechos Los,RESTAURANTE,SEGUNDA,Av. Kennedy 008y Antonio Guerra,
4175,NEON,BAR,TERCERA,AV. LUIS TELLO Y E VALDEZ,
4176,DON VALE,RESTAURANTE,CUARTA,CALLE SIMON PLATA TORRES,
4177,COSTA BRAVA,HOTEL,2 Estrellas,URBANIZACION NUEVA GRANADA SN CALLE A,www.hotelcostabrava.ec
4178,VISTA,HOTEL,2 Estrellas,santa rosa  S/N PROLONGACIÓN 9 DE OCTUBRE,www.vistahotelesmeraldas.com
4179,D´ Etiqueta Discotek,DISCOTECA,SEGUNDA,Av. Santo Domingo ,
4180,GENESIS,HOSTAL,SEGUNDA,VILLA RICA,
4181,LA ALDEA,HOTEL,2 Estrellas,21 de noviembre SN Las Acacias,www.aldeahotel.com
4182,OLIMAR PARAISO,HOSTERÍA,TERCERA,RECINTO BANDERAS,
4183,SAN EDUARDO EN SU SALSA,RESTAURANTE,CUARTA,BAQUERIZO MORENO #1014 ENTRE VICTOR MANUEL RENDON Y P. ICAZA,
4184,CANDILUS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,OLMEDO Y SALINAS,
4185,DELICATESSEN PA-PI,FUENTE DE SODA,TERCERA,AVE. 4 ENTRE CALLES 12 Y 13  No. 1227,
4186,LA HORMIGA DE ORO,RESTAURANTE,TERCERA,CARCHI 609 Y PRIMERO DE MAYO,
4187,ALIGAHU,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,CALLES JUAN MONTALVO Y AV. LIBERTAD,
4188,PARADERO TONSUPA,RESTAURANTE,(3) Tres tenedores,Troncal del Pacifico  S/N 1km antes de club del pacifico,
4189,OLAN'S HOTEL,HOTEL,2 Estrellas,9 de octubre  s/n Eloy Alfaro,
4190,HOTEL BARRACON,HOTEL,2 Estrellas,olmedo s/n Rocafuerte,
4191,T QUIERO VERDE 12 DE OCTUBRE,RESTAURANTE,SEGUNDA / 3 TENEDORES,AV. 12 DE OCTUBRE   N21-229 y JERÓNIMO CARRIóN,
4192,BIG BOY,RESTAURANTE,TERCERA,BOLIVAR Y PIEDRAHITA,
4193,OREJUELA D`,TERMAS Y BALNEARIOS,SEGUNDA,Barrio los Almendros ,
4194,CHOZON EL,RESTAURANTE,SEGUNDA,SAN RAFAEL ALADO DEL BCO. DE PICHINCHA,
4195,EL TIBURON'S,RESTAURANTE,CUARTA,CHILES Y CORAZON,
4196,COSTA RIOJANA LA ,RESTAURANTE,CUARTA,KM.50 VÍA A QUININDÉ,
4197,VISOS DI SOLES,HOTEL,PRIMERA,PARROQUIA ROCAFUERTE,
4198,AMERICANO,HOSTAL,1 Estrellas,AV. QUITO  224 COLOMBIA,
4199,DOMENICA,TRANSPORTE MARITIMO Y FLUVIAL,YATES_PASAJ,C. IGNACIO HERNANDEZ E ISLAS DUNCAN,
4200,BOCHINCHES,CAFETERÍA,TERCERA,BARBISOTTY ENTRE VALDEZ Y GUERRA,
4201,GODOY,BAR,(1) Una copa,Av. Abraham Calazacón 776-53 PASAJE 1,
4202,COSTA DORADA,HOTEL,2 Estrellas,LAS ACASIAS  15 MALECON,
4203,CHUMBLUM,TERMAS Y BALNEARIOS,SEGUNDA,VUELTA LARGA,
4204,NORMITA,RESTAURANTE,CUARTA,"AV. PAQUISHA S/N Y GUAYAQUIL, FERIA DE LAS OSTRAS",
4205,BRYAN DOS,BAR,TERCERA,"LOS ULTIMOS SEREMOS LOS PRIMEROS, MZ 4, SOLAR 1",
4206,MARQUIÑO,FUENTE DE SODA,SEGUNDA,"URB. PUERTO AZUL, C.C. PIAZZA, LOCAL 3, MZ. 112",
4207,SUNDAE ICE CREAM WORLD,CAFETERÍA,TERCERA,C.C. MALL EL FORTIN ISLA IA205,
4208,SUNDAE ICE CREAM WORLD,FUENTE DE SODA,TERCERA,"FUNDACION TERMINAL TERRESTRE, ISLA IP010",
4209,SUNDAE ICE CREAM WORLD,FUENTE DE SODA,TERCERA,"KM. 6-7, AV DEL BOMBERO, C.C. RIOCENTRO LOS CEIBOS, ISLA",
4210,SUNDAE ICE CREAM WORLD,FUENTE DE SODA,TERCERA,"C.C. EL PASEO SHOPPING , ISLA, KM. 3.5 VIA DURAN - BOLICHE",
4211,PESCADO DE MECHITA,RESTAURANTE,CUARTA,CDLA. ALBORADA XII ETAPA CALLA BENJAMIN CARRION S/N Y LA BEGONIA ,
4212,NOA NOA LE PIERROT,DISCOTECA,SEGUNDA,"MILAGRO, AV. QUITO #300 Y VICTOR EMILIO ESTRADA",
4213,EL CAFÉ DE MILTON,RESTAURANTE,CUARTA,5 DE JUNIO S/N ENTRE SEMINARIO Y BOLÍVAR,
4214,EL CAFÉ DE MILTON,RESTAURANTE,TERCERA,QUITO S/N Y VICTOR EMILIO ESTRADA,
4215,"CAFETERIA ""RINCON DE LOS MEZCLADITOS""",CAFETERÍA,(1) Una taza,Av del Pacifico S/N Julio Estupiñan ,
4216,CASA ARNALDO HOTEL,HOTEL,2 Estrellas,Olmedo s/n Luis Tello,
4217,CASA ARNALDO HOTEL,HOTEL,3 Estrellas,Av 1era del pacífico 2 Hilda Padilla,
4218,BUEN PASTOR EL,RESTAURANTE,CUARTA,"CDLA. ALBORADA DECIMO SEGUNDA ETAPA,  AV. FRANCISCO DE ORELLANA  SOLAR #7  MZ. 3",
4219,RESTAURANTE TIERRA VERDE,RESTAURANTE,CUARTA,AV. MALECON ENTRE CALLE 13 ,
4220,ALDEA MAR,HOSTAL,1 Estrellas,av 21 de noviembre s/n las acacias,
4221,FLIPPER,RESTAURANTE,TERCERA,Malecón Playa,
4222,HOTEL LA ALDEA PLAYA,HOTEL,2 Estrellas,av 21 de noviembre s/n las acacias,www.hotelaldeaplaya.com
4223,ENCOCAO DE MITYA EL,RESTAURANTE,CUARTA,CDLA. ALBORADA DECIMA SEGUNDA ETAPA S/N C.C. ALBODEGAS LOCAL 23,
4224,HOTEL  AMANECER,HOSTAL,3 Estrellas,Calle E S/N Tacito Ortiz Urriola ,
4225,MARISQUERIA   EL  PRIMO,RESTAURANTE,CUARTA,"LA  GARZOTA , MZ .67 , SOLAR  7",
4226,EL MONTE SUSTAINABLE,HOSTERÍA,3 Estrellas,RIVERAS DEL RIO MINDO S/N MARGEN DERECHO AGUAS ARRIBA S/N RIVERAS DEL RIO MINDO MARGEN DERECHO AGUAS ARRIBA,www.ecuadorcloudforest.com
4227,POMOS LOS,BAR,TERCERA,CALLE AMAZONAS Y GRAL. MARCOS SUBIA,
4228,BAR TURISTICO LOS POMOS,BAR,(1) Una copa,Amazonas SN Marco Subía,
4229,SAZON DE MUÑECA Y LAS MELLIZAS LA,RESTAURANTE,CUARTA,"COOP. COVIEM, SOLAR 11, MZ 19 LOCAL 3 ",
4230,HOSTAL JAREN,HOSTAL,2 Estrellas,LOJA S/N CESAR ANDY,
4231,GRAN MEJILLON,RESTAURANTE,TERCERA / 2 TENEDORES,Vancouver E3-32 y Alemania,
4232,D'PONY,HOSTAL,1 Estrellas,AV. BOLIVAR SN PICHINCHA,
4233,POLLO DE GALO EL ,RESTAURANTE,TERCERA,OLMEDO 1301 Y 9 DE OCTUBRE,
4234,WEON BURGUER,FUENTE DE SODA,TERCERA,AV. REPÚBLICA E8-81 Y AV. 6 DE DICIEMBRE,
4235,SAN BUENAVENTURA,TERMAS Y BALNEARIOS,SEGUNDA,VÍA PRINCIPAL,
4236,MESON DE JOSELITO EL,RESTAURANTE,TERCERA,BARRIO EL FAIQUE ,
4237,DOÑA ELODIA,RESTAURANTE,(1) Un tenedor,,
4238,GRAN HOTEL ESMERALDAS,HOSTAL,1 Estrellas,SUCRE 3-01 JUAN MONTALVO,www.hotelgesmeraldas.com
4239,PARADOR LA FORTUNA,RESTAURANTE,CUARTA,VIA PRINCIPAL QUININDE,
4240,ASADERO CARMITA IN,RESTAURANTE,CUARTA,"EL RECREO II ETAPA, MZ. 212, SOLAR 30",
4241,DON ROO,BAR,(1) Una copa,JOSE FERMÍN CEVALLOS s/n PASAJE,
4242,AQUARIUS,RESTAURANTE,CUARTA,CHILE 1806-A E/ BRAZIL Y GOMEZ RENDON,
4243,AQUARIUS,RESTAURANTE,CUARTA,CHIMBORAZO #1526 Y CUENCA,
4244,RESTAURANT LA ESMERALDA,RESTAURANTE,CUARTA,EDIF. 15 DE ABRIL PB L.C,
4245,"DELICIAS DEL MAR D""MARY",RESTAURANTE,SEGUNDA / 3 TENEDORES,VICENTE RAMóN ROCA E4-35 y av. AMAZONAS,
4246,HOSTAL ARUBA,HOSTAL,1 Estrellas,calle 4  s/n Nueva Granada,
4247,CUMILINCHE CLUB HOSTERIA Y RESTAURANT,LODGE,3 Estrellas,CUMILINCHE S/N VIA A GALERA,
4248,D´ FABULA HOTEL,HOTEL,2 Estrellas,MALECON DE ATACAMES 8 17F,
4249,PACIFIC STONE,HOSTERÍA,3 Estrellas,CALLE PRINCIPAL VIA A CAMARONES SN VIA A CAMARONES,
4250,EL CARACOL,RESTAURANTE,CUARTA,AV. ALEJANDRO LABAKA Y CAMILO TORRANO,
4251,PLAZA MADRE TIERRA,PLAZAS DE COMIDA,Categoría única,RUTA SPONDYLUS E15 BARRIO MARTIN PESCADOR,
4252,HOSTERIA BAMBUSA,HOSTERÍA,3 Estrellas,Via a al mariposario km2 s/n secundaria,www.hotelbambuecuador.com
4253,CASA BAMBÚ,HOSTAL,2 ESTRELLAS,VICENTE SOLANO E5-27 Y carlos proaño,www.hotelbambuecuaor.com
4254,EL TIBURON DE VANIA,RESTAURANTE,CUARTA,ELOY ALFARO Y 12 DE FEBERERO,
4255,BALTRA,RESTAURANTE,SEGUNDA,AEROPUERTO,
4256,AZUCENA,HOSTAL,SEGUNDA,Las Acacias,
4257,FONTANA LA ,TERMAS Y BALNEARIOS,TERCERA,VOLUNTAD DE DIOS DIAGONAL AL COLEGIO RAUL DELGADO,
4258,ZUQUINI,RESTAURANTE,CUARTA,12  DE NOVIEMBRE Y MONTALVO,
4259,POLLAZO EL ,CAFETERÍA,TERCERA,CALLE LOS FLAMENCOS,
4260,RANCHO CHICO,HOSTAL,TERCERA,BARRIO SAN CARLOS,
4261,SAMARCANDA,RESTAURANTE,TERCERA,"TERMINAL TERRESTRE, NIVEL 2, LOCAL 209",
4262,AL MAR MARISQUERÍA,RESTAURANTE,CUARTA,"VÍA A LAS VILLEGAS S/N, MARGEN DERECHO",
4263,RINCON CALIENTE EL,DISCOTECA,SEGUNDA,"AV GUILLERMO R. PAREJA, CDLA. LA ALBORADA 11AVA ETAPA,  ALBOCENTRO 5, BLOQUE 2, LOC.8 Y 19",
4264,DOÑA ELSIE,RESTAURANTE,TERCERA,MALECON JULIO IZURIETA Y MARISCAL SUCRE,
4265,BRYJAMAR,HOSTAL,1 Estrellas,JOSE MARTINEZ S/N PLAZA ACOSTA,
4266,FRANCIS STEAK HOUSE,RESTAURANTE,TERCERA,JUAN PIO MONTUFAR LOTE 1 Y CALDERON - EL SIGSAL,
4267,DON QUIMIS,RESTAURANTE,CUARTA / 1 TENEDOR,SANTIAGO OE1-43 Y JUAN SALINAS,
4268,KAÑAMAET,BAR,TERCERA,"AV. ABRAHAM CALAZACON S/N PASAJE 3, URBANIZACION LOS LAURELES",
4269,DELICIAS DEL MAR,RESTAURANTE,TERCERA,AV. 05 DE AGOSTO ,
4270,POLLO EL AZUL,RESTAURANTE,CUARTA,MANUEL GALECIO 510 Y RUMICHACA,
4271,LA CASA DE FRANCHESCA,RESTAURANTE,CUARTA,MALECON DE LA PLAYA DE TONCHIGUE,
4272,CASCADA DE TONY LA,RESTAURANTE,TERCERA,AV. KENNEDY E HILDA PADILLA,
4273,D´LUIS SALSA,BAR,SEGUNDA,"CDLA. ALBORADA DECIMA PRIMERA ETAPA, MZ. 3, BLOQ. MA2.  EDF. ALBOCENTRO 5, LOCAL 14",
4274,SALSA DE HOY ,BAR,TERCERA,CALLE MACHALA # 1221 Y AGUIRRE ,
4275,EMPANADAS DE LA BOYACA LAS ,FUENTE DE SODA,TERCERA,BOYACA Y TARQUI,
4276,PARRILLADAS DEL MANABA,RESTAURANTE,TERCERA,AV. 15 DE NOVIEMBRE Y MARIANA MOTESDEOCA,
4277,EMPANADAS DE NICO ,FUENTE DE SODA,SEGUNDA,CARCHI 611 Y PRIMERO DE MAYO ,
4278,HOSTAL ESTEFANIA,HOSTAL,1 Estrellas,juan montalvo n/s sucre y olmedo,www.hostalestefania.com
4279,MARJORIE,HOSTAL,SEGUNDA,Barrio Nueva Granada,
4280,HOSTAL LA ESTANCIA,HOSTAL,2 Estrellas,VIA PRINCIPAL SN SN,
4281,D'PRISS,RESTAURANTE,TERCERA,GONZALES ZUARES Y JUAN PEREIRA,
4282,SAZÓN ESMERALDEÑA,RESTAURANTE,TERCERA,OVIEDO ENTRE SUCRRE Y ROCAFUERTE,
4283,HERMANOS NIEVES 1,RESTAURANTE,TERCERA,BARRIO EL ROSARIO,
4284,HERMANOS NIEVES 2,RESTAURANTE,TERCERA,VIA PRINCIPAL A ATACAMES,
4285,CEVICHERÍA DON CANGREJO # 1,RESTAURANTE,TERCERA,AV. MARIANO ACOSTA S/N Y CRISTÓBAL GÓMEZJURADO,
4286,LA COCINA DEL TOLEDO,RESTAURANTE,SEGUNDA / 3 TENEDORES,ULPIANO PÁEZ 857 y MERCADILLO,
4287,EXCLUSIVO TATIS HOSTERIA,HOTEL,2 Estrellas,AV 12 DE OCTUBRE SN RIOVERDE,
4288,DISCOTECA CHANEY,DISCOTECA,SEGUNDA,BARRIO CALIENTE,
4289,SCAPE,HOSTAL,TERCERA,"COOP. POBLADORES SIN TIERRA BARRIO GUASMO CENTRAL, MZ. 1, SOLAR 13",
4290,PALMERAS VERDES LAS,RESTAURANTE,CUARTA,MALECÓN LA PLAYA,
4291,CORVINA FRITA DE BOLITA # 2 LA ,RESTAURANTE,CUARTA,LEONIDAS PLAZA 2106 ENTRE GENERAL GOMEZ Y PORTETE,
4292,MAVIER,HOSTAL,1 Estrellas,JUAN PEREIRA S/N PRIMERA TRANSVERSAL,
4293,SOLO RICURAS,RESTAURANTE,TERCERA,PRINCIPAL S/N VIA A VALENCIA KM0.5,
4294,Luna Azul,TRANSPORTE MARITIMO Y FLUVIAL,LANC_PASAJE,Av. Los Túneles y los Gemelos,
4295,TROPICAL ALTO NIVEL,BAR,(1) Una copa,3 de noviembre S/N Tula Jácome,
4296,DELICIAS DE GUAYABILLO LAS ,CENTRO DE RECREACIÓN TURÍSTICA,TERCERA,VIA PRINCIPAL - A CHONTADURO,
4297,INVICTA II,TRANSPORTE MARITIMO Y FLUVIAL,LANC_PASAJE,"C. VEHICULAR B, BARRIO LA CASCADA",
4298,DR. CANGREJO,RESTAURANTE,SEGUNDA / 3 TENEDORES,LUIS CORDERO E4-130 y joaquín PINTO,
4299,CIELO Y MAR,RESTAURANTE,TERCERA,JUAN PEREIRA Y MALECON 2DA ETAPA,
4300,VALLE ENCANTADO,RESTAURANTE,TERCERA,KM. 3 1/2 VÍA A SANTO DOMINGO,
4301,EL OASIS,RESTAURANTE,CUARTA,CORMORANT Y PINZON ARTESANO ,
4302,CORONA LA,RESTAURANTE,TERCERA,BARRIO MARISCAL SUCRE AV. JOSUE ROBLES BODERO Y CALLE 4,
4303,STANFORD BEACH,HOTEL,2 Estrellas,19 6 C5,
4304,FENIX BLUE DISCO LOUNGE,DISCOTECA,SEGUNDA / 2 COPAS,Av. Maldonado Lote 38C y Calle S38,
4305,LUCCIA,RESTAURANTE,TERCERA,BARRIO EL PRADO A TRES CASAS  DEL PUENTE PEATONAL ,
4306,ACHILUBE,HOSTERÍA,TERCERA,VIA A CAMARONES A CAMARONES A 5 MINUTOS DEL AEROPUERTO,
4307,NATHALY,RESTAURANTE,TERCERA,MALECON DE LA PLAYA DE LAS PEÑAS,
4308,CAFÉ BOLÓN,CAFETERÍA,SEGUNDA,"URB. ENTRERÍOS, SOLAR 9, MZ. Y1",
4309,SISA WASI,CAFETERÍA,TERCERA,AV. PRINCIPAL KM. 56 Y MARGEN IZQUIERDO,
4310,FORASTERO 2,RESTAURANTE,TERCERA,OLMEDO Y IACAURTE,
4311,MERIDIAN INTERNACIONAL GOURMET,RESTAURANTE,TERCERA / 2 TENEDORES,Av. Manuel Cordova Galarza 102 a y Av . Equinoccial,
4312,HOSTAL ANDRES,HOSTAL,1 Estrellas,SUCRE 812 PIEDRAHITA,
4313,BUENA SAZON,RESTAURANTE,CUARTA,CDLA. QUISQUIS SOLAR 13 MZ.1,
4314,HOSTAL MALDONADO,HOSTAL,1 Estrellas,AV SUCRE M46 SL DOCE 46 PIEDRAHITA,
4315,STEREO VALLEY,DISCOTECA,PRIMERA / 3 COPAS,JOSé CALAMA  E4-381 ENTRE AMAZONAS Y JUAN LEóN MERa,
4316,PAPILANDIA No 5,FUENTE DE SODA,SEGUNDA,AZUAY 216 Y BOLIVAR,
4317,HOTEL PUERTO GAVIOTA,HOTEL,3 Estrellas,calle B 0 avenida A,www.hotelpuertogaviota.com
4318,PIZZERIA EL HORNERO,RESTAURANTE,(1) Un tenedor,AV. DEL PACIFICO  801 ANTONIO GUERRA,www.pizzeriaelhornero.com.ec
4319,INKA BURGER,RESTAURANTE,TERCERA / 2 TENEDORES,PAMPITE S/N Y SN,
4320,NUEVO FORASTERO NO 3 EL,RESTAURANTE,TERCERA,OLMEDO Y PIEDRAHITA,
4321,HABANA,BAR,TERCERA,"ALBORADA DECIMA PRIMERA ETAPA S/N. C.C. ALBOCENTRO 5, BL. A-1, LC. 6",
4322,PALACIO DEL BUEN COMER EL ,RESTAURANTE,CUARTA,PADRE SOLANO #1224 Y GARCIA MORENO,
4323,BLACK PEPPERS,BAR,SEGUNDA,"AVDA. CONSTITUCIÓN S/N Y AVDA. JUAN TANCA MARENGO, PLAZA SOL, EDIF. PROFESIONAL CENTER, LOCAL 10",
4324,RODEO EL ,RESTAURANTE,SEGUNDA,SUCRE Y QUITO,
